"Match_ID","Season","City","Team1","Team2","Toss_Winner","Toss_Decision","Runs_Team1","Runs_Team2","Winner","Player_of_Match","Venue"
27,2017,"Mohali","Sunrisers Hyderabad","KKR","Mumbai Indians","Bat",154,158,"KKR","David Warner","Eden Gardens"
28,2016,"Delhi","Chennai Super Kings","Rajasthan Royals","Punjab Kings","Bat",158,207,"Rajasthan Royals","Andre Russell","Chinnaswamy Stadium"
29,2019,"Chennai","Rajasthan Royals","Punjab Kings","Punjab Kings","Field",207,152,"Rajasthan Royals","AB de Villiers","Feroz Shah Kotla"
30,2018,"Chennai","Chennai Super Kings","KKR","Punjab Kings","Field",163,143,"Chennai Super Kings","AB de Villiers","Feroz Shah Kotla"
31,2017,"Mumbai","Mumbai Indians","Rajasthan Royals","Mumbai Indians","Bat",219,213,"Mumbai Indians","Rohit Sharma","Wankhede Stadium"
32,2015,"Jaipur","Punjab Kings","Sunrisers Hyderabad","Sunrisers Hyderabad","Field",199,164,"Punjab Kings","Andre Russell","Eden Gardens"
33,2017,"Mohali","RCB","Sunrisers Hyderabad","Mumbai Indians","Field",132,182,"Sunrisers Hyderabad","Hardik Pandya","Rajiv Gandhi Stadium"
34,2015,"Delhi","KKR","Chennai Super Kings","Delhi Capitals","Bat",157,175,"Chennai Super Kings","Hardik Pandya","Feroz Shah Kotla"
35,2024,"Kolkata","Punjab Kings","Rajasthan Royals","Delhi Capitals","Field",136,188,"Rajasthan Royals","KL Rahul","Chinnaswamy Stadium"
36,2016,"Hyderabad","Mumbai Indians","KKR","RCB","Bat",180,176,"Mumbai Indians","Virat Kohli","Rajiv Gandhi Stadium"
37,2021,"Mumbai","RCB","Rajasthan Royals","Chennai Super Kings","Bat",141,189,"Rajasthan Royals","David Warner","Chinnaswamy Stadium"
38,2023,"Kolkata","Rajasthan Royals","RCB","Punjab Kings","Field",154,179,"RCB","Virat Kohli","Feroz Shah Kotla"
39,2024,"Jaipur","Delhi Capitals","RCB","Sunrisers Hyderabad","Field",170,126,"Delhi Capitals","Hardik Pandya","Rajiv Gandhi Stadium"
40,2016,"Hyderabad","KKR","Punjab Kings","Rajasthan Royals","Bat",166,207,"Punjab Kings","MS Dhoni","Eden Gardens"
41,2019,"Mumbai","Rajasthan Royals","Chennai Super Kings","Mumbai Indians","Field",176,132,"Rajasthan Royals","AB de Villiers","Feroz Shah Kotla"
42,2015,"Jaipur","Sunrisers Hyderabad","Rajasthan Royals","Sunrisers Hyderabad","Field",172,218,"Rajasthan Royals","AB de Villiers","Chepauk Stadium"
43,2016,"Jaipur","Chennai Super Kings","Sunrisers Hyderabad","RCB","Field",187,132,"Chennai Super Kings","Hardik Pandya","Rajiv Gandhi Stadium"
44,2023,"Bangalore","Delhi Capitals","Mumbai Indians","Chennai Super Kings","Bat",183,128,"Delhi Capitals","Virat Kohli","Rajiv Gandhi Stadium"
45,2024,"Jaipur","Rajasthan Royals","Punjab Kings","Punjab Kings","Bat",122,170,"Punjab Kings","Hardik Pandya","Wankhede Stadium"
46,2018,"Jaipur","Mumbai Indians","Punjab Kings","Delhi Capitals","Bat",156,122,"Mumbai Indians","David Warner","Rajiv Gandhi Stadium"
47,2021,"Hyderabad","Mumbai Indians","Punjab Kings","Rajasthan Royals","Field",154,196,"Punjab Kings","Andre Russell","Chinnaswamy Stadium"
48,2021,"Mohali","Chennai Super Kings","KKR","RCB","Field",186,150,"Chennai Super Kings","KL Rahul","Rajiv Gandhi Stadium"
49,2015,"Kolkata","Rajasthan Royals","Delhi Capitals","Mumbai Indians","Field",131,205,"Delhi Capitals","Virat Kohli","Chinnaswamy Stadium"
50,2020,"Mohali","RCB","Delhi Capitals","RCB","Bat",200,176,"RCB","KL Rahul","Rajiv Gandhi Stadium"
51,2022,"Hyderabad","KKR","Delhi Capitals","Rajasthan Royals","Bat",151,139,"KKR","AB de Villiers","Chinnaswamy Stadium"
52,2022,"Bangalore","Delhi Capitals","Punjab Kings","Mumbai Indians","Bat",155,120,"Delhi Capitals","Rohit Sharma","Feroz Shah Kotla"
53,2024,"Chennai","Rajasthan Royals","Punjab Kings","Rajasthan Royals","Bat",141,204,"Punjab Kings","KL Rahul","Wankhede Stadium"
54,2017,"Chennai","Delhi Capitals","Chennai Super Kings","RCB","Field",130,151,"Chennai Super Kings","Andre Russell","Wankhede Stadium"
55,2016,"Kolkata","RCB","Sunrisers Hyderabad","Sunrisers Hyderabad","Bat",140,166,"Sunrisers Hyderabad","Hardik Pandya","Rajiv Gandhi Stadium"
56,2024,"Bangalore","Sunrisers Hyderabad","Punjab Kings","Delhi Capitals","Field",129,191,"Punjab Kings","Hardik Pandya","Chepauk Stadium"
57,2018,"Jaipur","Punjab Kings","Chennai Super Kings","Delhi Capitals","Bat",190,211,"Chennai Super Kings","KL Rahul","Eden Gardens"
58,2017,"Jaipur","Mumbai Indians","Rajasthan Royals","Sunrisers Hyderabad","Field",217,143,"Mumbai Indians","Hardik Pandya","Chepauk Stadium"
59,2020,"Mumbai","Chennai Super Kings","Punjab Kings","Delhi Capitals","Field",196,158,"Chennai Super Kings","KL Rahul","Rajiv Gandhi Stadium"
60,2015,"Bangalore","Delhi Capitals","Punjab Kings","Chennai Super Kings","Bat",175,168,"Delhi Capitals","Andre Russell","Feroz Shah Kotla"
61,2023,"Chennai","Delhi Capitals","Delhi Capitals","Rajasthan Royals","Field",145,181,"Delhi Capitals","Rohit Sharma","Rajiv Gandhi Stadium"
62,2024,"Delhi","Sunrisers Hyderabad","Rajasthan Royals","Chennai Super Kings","Bat",120,172,"Rajasthan Royals","David Warner","Rajiv Gandhi Stadium"
63,2016,"Jaipur","KKR","RCB","Sunrisers Hyderabad","Field",161,198,"RCB","David Warner","Rajiv Gandhi Stadium"
64,2017,"Chennai","Rajasthan Royals","Sunrisers Hyderabad","Chennai Super Kings","Bat",140,167,"Sunrisers Hyderabad","David Warner","Chinnaswamy Stadium"
65,2016,"Mohali","Delhi Capitals","Mumbai Indians","RCB","Field",163,185,"Mumbai Indians","AB de Villiers","Feroz Shah Kotla"
66,2017,"Mohali","Chennai Super Kings","KKR","Delhi Capitals","Field",132,137,"KKR","AB de Villiers","Feroz Shah Kotla"
67,2020,"Chennai","Mumbai Indians","Rajasthan Royals","Rajasthan Royals","Field",181,147,"Mumbai Indians","AB de Villiers","Rajiv Gandhi Stadium"
68,2023,"Kolkata","Mumbai Indians","Chennai Super Kings","Chennai Super Kings","Field",198,182,"Mumbai Indians","Andre Russell","Feroz Shah Kotla"
69,2020,"Jaipur","RCB","Delhi Capitals","KKR","Field",201,179,"RCB","David Warner","Rajiv Gandhi Stadium"
70,2020,"Chennai","Mumbai Indians","Delhi Capitals","Delhi Capitals","Field",207,149,"Mumbai Indians","Hardik Pandya","Rajiv Gandhi Stadium"
71,2021,"Mohali","Punjab Kings","Rajasthan Royals","Mumbai Indians","Field",135,155,"Rajasthan Royals","Rohit Sharma","Rajiv Gandhi Stadium"
72,2016,"Kolkata","Delhi Capitals","Mumbai Indians","Chennai Super Kings","Bat",209,181,"Delhi Capitals","Virat Kohli","Eden Gardens"
73,2024,"Jaipur","Rajasthan Royals","Mumbai Indians","Rajasthan Royals","Field",209,165,"Rajasthan Royals","MS Dhoni","Wankhede Stadium"
74,2020,"Kolkata","Mumbai Indians","Chennai Super Kings","Sunrisers Hyderabad","Bat",203,194,"Mumbai Indians","Andre Russell","Chepauk Stadium"
75,2016,"Kolkata","Rajasthan Royals","Chennai Super Kings","Sunrisers Hyderabad","Bat",173,209,"Chennai Super Kings","KL Rahul","Wankhede Stadium"
76,2021,"Kolkata","Chennai Super Kings","Sunrisers Hyderabad","KKR","Bat",179,215,"Sunrisers Hyderabad","David Warner","Chinnaswamy Stadium"
77,2017,"Hyderabad","KKR","RCB","Mumbai Indians","Bat",132,195,"RCB","Virat Kohli","Rajiv Gandhi Stadium"
78,2024,"Jaipur","Rajasthan Royals","Punjab Kings","Mumbai Indians","Bat",174,199,"Punjab Kings","KL Rahul","Rajiv Gandhi Stadium"
79,2015,"Chennai","Sunrisers Hyderabad","Punjab Kings","Sunrisers Hyderabad","Bat",191,121,"Sunrisers Hyderabad","AB de Villiers","Chepauk Stadium"
80,2022,"Hyderabad","KKR","RCB","KKR","Bat",192,187,"KKR","Andre Russell","Rajiv Gandhi Stadium"
81,2016,"Kolkata","Punjab Kings","Sunrisers Hyderabad","Delhi Capitals","Field",190,211,"Sunrisers Hyderabad","AB de Villiers","Eden Gardens"
82,2023,"Delhi","Punjab Kings","Delhi Capitals","Sunrisers Hyderabad","Bat",217,171,"Punjab Kings","KL Rahul","Rajiv Gandhi Stadium"
83,2021,"Kolkata","RCB","Mumbai Indians","Rajasthan Royals","Field",157,151,"RCB","KL Rahul","Wankhede Stadium"
84,2022,"Hyderabad","Sunrisers Hyderabad","Rajasthan Royals","Sunrisers Hyderabad","Field",184,214,"Rajasthan Royals","KL Rahul","Eden Gardens"
85,2023,"Delhi","Punjab Kings","RCB","RCB","Bat",163,150,"Punjab Kings","KL Rahul","Eden Gardens"
86,2020,"Delhi","Punjab Kings","RCB","Mumbai Indians","Bat",220,173,"Punjab Kings","Virat Kohli","Feroz Shah Kotla"
87,2017,"Hyderabad","Rajasthan Royals","Chennai Super Kings","Sunrisers Hyderabad","Field",191,128,"Rajasthan Royals","Virat Kohli","Eden Gardens"
88,2020,"Jaipur","Rajasthan Royals","Delhi Capitals","RCB","Field",207,152,"Rajasthan Royals","Hardik Pandya","Chepauk Stadium"
89,2016,"Mumbai","Sunrisers Hyderabad","Chennai Super Kings","Punjab Kings","Field",139,200,"Chennai Super Kings","KL Rahul","Eden Gardens"
90,2019,"Mumbai","Mumbai Indians","Chennai Super Kings","RCB","Field",128,159,"Chennai Super Kings","Andre Russell","Chepauk Stadium"
91,2021,"Jaipur","Punjab Kings","Sunrisers Hyderabad","KKR","Bat",184,162,"Punjab Kings","Rohit Sharma","Chinnaswamy Stadium"
92,2016,"Kolkata","Chennai Super Kings","Rajasthan Royals","KKR","Bat",217,207,"Chennai Super Kings","MS Dhoni","Rajiv Gandhi Stadium"
93,2024,"Jaipur","Mumbai Indians","RCB","Delhi Capitals","Field",185,161,"Mumbai Indians","David Warner","Chepauk Stadium"
94,2023,"Delhi","Chennai Super Kings","Chennai Super Kings","RCB","Field",211,173,"Chennai Super Kings","Hardik Pandya","Wankhede Stadium"
95,2022,"Jaipur","KKR","RCB","KKR","Bat",171,169,"KKR","Andre Russell","Rajiv Gandhi Stadium"
96,2021,"Hyderabad","Delhi Capitals","Mumbai Indians","Chennai Super Kings","Bat",193,124,"Delhi Capitals","KL Rahul","Wankhede Stadium"
97,2019,"Hyderabad","Delhi Capitals","Mumbai Indians","Chennai Super Kings","Field",213,200,"Delhi Capitals","MS Dhoni","Chepauk Stadium"
98,2024,"Mohali","Punjab Kings","RCB","Mumbai Indians","Bat",120,154,"RCB","KL Rahul","Chinnaswamy Stadium"
99,2022,"Mohali","Rajasthan Royals","Chennai Super Kings","KKR","Bat",199,143,"Rajasthan Royals","Virat Kohli","Rajiv Gandhi Stadium"
100,2015,"Hyderabad","RCB","Mumbai Indians","Chennai Super Kings","Field",140,147,"Mumbai Indians","KL Rahul","Feroz Shah Kotla"
101,2020,"Chennai","Mumbai Indians","Punjab Kings","Mumbai Indians","Field",191,180,"Mumbai Indians","KL Rahul","Feroz Shah Kotla"
102,2019,"Hyderabad","KKR","Chennai Super Kings","Punjab Kings","Bat",127,179,"Chennai Super Kings","Rohit Sharma","Chinnaswamy Stadium"
103,2024,"Bangalore","Punjab Kings","RCB","Chennai Super Kings","Bat",217,152,"Punjab Kings","AB de Villiers","Wankhede Stadium"
104,2019,"Jaipur","Mumbai Indians","Chennai Super Kings","Rajasthan Royals","Bat",215,195,"Mumbai Indians","AB de Villiers","Wankhede Stadium"
105,2021,"Mohali","Sunrisers Hyderabad","Punjab Kings","RCB","Bat",190,135,"Sunrisers Hyderabad","Virat Kohli","Eden Gardens"
106,2020,"Delhi","Punjab Kings","Sunrisers Hyderabad","Chennai Super Kings","Bat",166,171,"Sunrisers Hyderabad","Rohit Sharma","Wankhede Stadium"
107,2021,"Chennai","Mumbai Indians","Rajasthan Royals","Chennai Super Kings","Field",158,219,"Rajasthan Royals","Virat Kohli","Wankhede Stadium"
108,2024,"Chennai","Rajasthan Royals","Sunrisers Hyderabad","Punjab Kings","Bat",199,217,"Sunrisers Hyderabad","MS Dhoni","Feroz Shah Kotla"
109,2015,"Mohali","RCB","Punjab Kings","Sunrisers Hyderabad","Bat",131,201,"Punjab Kings","Hardik Pandya","Wankhede Stadium"
110,2021,"Bangalore","Sunrisers Hyderabad","Sunrisers Hyderabad","Sunrisers Hyderabad","Field",194,199,"Sunrisers Hyderabad","AB de Villiers","Wankhede Stadium"
111,2018,"Kolkata","Sunrisers Hyderabad","KKR","KKR","Field",184,131,"Sunrisers Hyderabad","Rohit Sharma","Feroz Shah Kotla"
112,2021,"Chennai","Punjab Kings","KKR","Rajasthan Royals","Bat",184,179,"Punjab Kings","Rohit Sharma","Eden Gardens"
113,2023,"Delhi","KKR","Chennai Super Kings","KKR","Bat",196,181,"KKR","AB de Villiers","Eden Gardens"
114,2018,"Delhi","Rajasthan Royals","Mumbai Indians","Chennai Super Kings","Bat",213,126,"Rajasthan Royals","David Warner","Eden Gardens"
115,2015,"Mumbai","Mumbai Indians","Chennai Super Kings","Chennai Super Kings","Field",120,182,"Chennai Super Kings","KL Rahul","Wankhede Stadium"
116,2020,"Delhi","Punjab Kings","Rajasthan Royals","Chennai Super Kings","Bat",124,198,"Rajasthan Royals","David Warner","Chepauk Stadium"
117,2022,"Mumbai","Punjab Kings","RCB","Rajasthan Royals","Field",217,130,"Punjab Kings","Andre Russell","Chinnaswamy Stadium"
118,2018,"Jaipur","Sunrisers Hyderabad","Rajasthan Royals","Sunrisers Hyderabad","Bat",203,186,"Sunrisers Hyderabad","Rohit Sharma","Chinnaswamy Stadium"
119,2019,"Bangalore","RCB","KKR","Chennai Super Kings","Bat",120,194,"KKR","David Warner","Wankhede Stadium"
120,2022,"Mohali","Punjab Kings","Delhi Capitals","Sunrisers Hyderabad","Field",123,147,"Delhi Capitals","AB de Villiers","Wankhede Stadium"
121,2024,"Bangalore","Delhi Capitals","RCB","KKR","Field",141,170,"RCB","David Warner","Eden Gardens"
122,2023,"Jaipur","Sunrisers Hyderabad","Rajasthan Royals","Delhi Capitals","Bat",187,124,"Sunrisers Hyderabad","KL Rahul","Rajiv Gandhi Stadium"
123,2017,"Jaipur","Rajasthan Royals","RCB","Mumbai Indians","Bat",141,151,"RCB","Hardik Pandya","Chinnaswamy Stadium"
124,2020,"Mumbai","RCB","Rajasthan Royals","Rajasthan Royals","Field",165,136,"RCB","Hardik Pandya","Chepauk Stadium"
125,2021,"Delhi","Rajasthan Royals","Chennai Super Kings","Rajasthan Royals","Field",144,219,"Chennai Super Kings","Rohit Sharma","Eden Gardens"
126,2016,"Kolkata","Punjab Kings","RCB","KKR","Field",203,129,"Punjab Kings","AB de Villiers","Eden Gardens"
127,2017,"Bangalore","Chennai Super Kings","KKR","Chennai Super Kings","Bat",155,205,"KKR","Rohit Sharma","Chepauk Stadium"
128,2023,"Mumbai","Rajasthan Royals","Mumbai Indians","RCB","Field",129,133,"Mumbai Indians","KL Rahul","Chepauk Stadium"
129,2015,"Chennai","Delhi Capitals","RCB","RCB","Field",169,187,"RCB","MS Dhoni","Wankhede Stadium"
130,2019,"Bangalore","Delhi Capitals","Chennai Super Kings","Rajasthan Royals","Field",175,204,"Chennai Super Kings","KL Rahul","Chinnaswamy Stadium"
131,2022,"Mohali","Sunrisers Hyderabad","KKR","Rajasthan Royals","Bat",120,163,"KKR","Andre Russell","Chinnaswamy Stadium"
132,2022,"Mohali","RCB","Mumbai Indians","Chennai Super Kings","Bat",209,166,"RCB","Virat Kohli","Feroz Shah Kotla"
133,2015,"Delhi","Chennai Super Kings","Rajasthan Royals","Mumbai Indians","Bat",207,137,"Chennai Super Kings","Virat Kohli","Feroz Shah Kotla"
134,2017,"Hyderabad","Chennai Super Kings","Delhi Capitals","Rajasthan Royals","Bat",140,156,"Delhi Capitals","Rohit Sharma","Chepauk Stadium"
135,2016,"Mohali","Chennai Super Kings","KKR","RCB","Field",219,140,"Chennai Super Kings","MS Dhoni","Chepauk Stadium"
136,2015,"Kolkata","KKR","Rajasthan Royals","RCB","Field",181,152,"KKR","KL Rahul","Chepauk Stadium"
137,2023,"Chennai","Chennai Super Kings","Punjab Kings","KKR","Field",145,194,"Punjab Kings","Rohit Sharma","Chinnaswamy Stadium"
138,2018,"Delhi","Chennai Super Kings","Delhi Capitals","Chennai Super Kings","Field",199,206,"Delhi Capitals","Virat Kohli","Rajiv Gandhi Stadium"
139,2024,"Kolkata","Punjab Kings","Sunrisers Hyderabad","KKR","Bat",179,199,"Sunrisers Hyderabad","Andre Russell","Chinnaswamy Stadium"
140,2024,"Mohali","Rajasthan Royals","Chennai Super Kings","Mumbai Indians","Bat",169,144,"Rajasthan Royals","KL Rahul","Feroz Shah Kotla"
141,2023,"Chennai","KKR","Sunrisers Hyderabad","Rajasthan Royals","Field",173,173,"Sunrisers Hyderabad","Rohit Sharma","Feroz Shah Kotla"
142,2022,"Jaipur","KKR","Rajasthan Royals","Punjab Kings","Bat",181,126,"KKR","MS Dhoni","Chepauk Stadium"
143,2018,"Bangalore","Punjab Kings","Sunrisers Hyderabad","Mumbai Indians","Bat",121,139,"Sunrisers Hyderabad","AB de Villiers","Chepauk Stadium"
144,2017,"Kolkata","Mumbai Indians","Rajasthan Royals","Punjab Kings","Bat",215,211,"Mumbai Indians","Hardik Pandya","Feroz Shah Kotla"
145,2017,"Kolkata","Punjab Kings","RCB","Rajasthan Royals","Bat",213,147,"Punjab Kings","Hardik Pandya","Rajiv Gandhi Stadium"
146,2017,"Hyderabad","Punjab Kings","Chennai Super Kings","Punjab Kings","Field",145,155,"Chennai Super Kings","Rohit Sharma","Feroz Shah Kotla"
147,2021,"Chennai","Punjab Kings","Sunrisers Hyderabad","Mumbai Indians","Field",197,174,"Punjab Kings","AB de Villiers","Chepauk Stadium"
148,2024,"Mumbai","RCB","Sunrisers Hyderabad","Sunrisers Hyderabad","Field",216,178,"RCB","Rohit Sharma","Rajiv Gandhi Stadium"
149,2017,"Jaipur","Sunrisers Hyderabad","Mumbai Indians","Sunrisers Hyderabad","Bat",191,161,"Sunrisers Hyderabad","Hardik Pandya","Chinnaswamy Stadium"
150,2016,"Mohali","Punjab Kings","RCB","Chennai Super Kings","Bat",180,125,"Punjab Kings","AB de Villiers","Feroz Shah Kotla"
151,2022,"Chennai","RCB","Punjab Kings","Sunrisers Hyderabad","Bat",214,142,"RCB","Hardik Pandya","Rajiv Gandhi Stadium"
152,2019,"Bangalore","Punjab Kings","Rajasthan Royals","Delhi Capitals","Bat",219,148,"Punjab Kings","Andre Russell","Rajiv Gandhi Stadium"
153,2015,"Bangalore","Rajasthan Royals","RCB","Sunrisers Hyderabad","Field",170,217,"RCB","MS Dhoni","Feroz Shah Kotla"
154,2021,"Hyderabad","Sunrisers Hyderabad","Delhi Capitals","RCB","Field",182,201,"Delhi Capitals","Andre Russell","Feroz Shah Kotla"
155,2022,"Jaipur","Mumbai Indians","RCB","Sunrisers Hyderabad","Field",133,192,"RCB","KL Rahul","Chinnaswamy Stadium"
156,2018,"Mohali","Rajasthan Royals","Punjab Kings","KKR","Field",148,181,"Punjab Kings","David Warner","Rajiv Gandhi Stadium"
157,2019,"Hyderabad","RCB","Punjab Kings","Rajasthan Royals","Bat",137,187,"Punjab Kings","Hardik Pandya","Wankhede Stadium"
158,2019,"Hyderabad","Rajasthan Royals","RCB","Mumbai Indians","Bat",216,193,"Rajasthan Royals","KL Rahul","Chepauk Stadium"
159,2019,"Delhi","Delhi Capitals","Sunrisers Hyderabad","Delhi Capitals","Field",143,181,"Sunrisers Hyderabad","Andre Russell","Wankhede Stadium"
160,2016,"Kolkata","Rajasthan Royals","Sunrisers Hyderabad","Chennai Super Kings","Field",214,168,"Rajasthan Royals","Rohit Sharma","Chepauk Stadium"
161,2017,"Kolkata","Rajasthan Royals","KKR","Punjab Kings","Field",124,121,"Rajasthan Royals","AB de Villiers","Chepauk Stadium"
162,2021,"Delhi","Chennai Super Kings","RCB","Chennai Super Kings","Field",142,197,"RCB","KL Rahul","Rajiv Gandhi Stadium"
163,2021,"Hyderabad","Punjab Kings","RCB","RCB","Field",217,160,"Punjab Kings","Andre Russell","Wankhede Stadium"
164,2017,"Kolkata","Punjab Kings","Mumbai Indians","Rajasthan Royals","Field",181,162,"Punjab Kings","Virat Kohli","Wankhede Stadium"
165,2022,"Mohali","Rajasthan Royals","Mumbai Indians","Punjab Kings","Bat",181,148,"Rajasthan Royals","KL Rahul","Wankhede Stadium"
166,2023,"Mohali","Sunrisers Hyderabad","KKR","Chennai Super Kings","Bat",141,162,"KKR","Andre Russell","Feroz Shah Kotla"
167,2017,"Hyderabad","Rajasthan Royals","KKR","Delhi Capitals","Field",143,134,"Rajasthan Royals","Virat Kohli","Chinnaswamy Stadium"
168,2016,"Bangalore","RCB","Punjab Kings","Delhi Capitals","Bat",163,149,"RCB","Hardik Pandya","Feroz Shah Kotla"
169,2019,"Mumbai","Chennai Super Kings","Delhi Capitals","Chennai Super Kings","Field",145,120,"Chennai Super Kings","AB de Villiers","Rajiv Gandhi Stadium"
170,2021,"Chennai","Delhi Capitals","Rajasthan Royals","Mumbai Indians","Bat",202,205,"Rajasthan Royals","David Warner","Feroz Shah Kotla"
171,2024,"Bangalore","Punjab Kings","KKR","Delhi Capitals","Field",204,144,"Punjab Kings","MS Dhoni","Chinnaswamy Stadium"
172,2017,"Delhi","Sunrisers Hyderabad","Mumbai Indians","Chennai Super Kings","Bat",144,185,"Mumbai Indians","Andre Russell","Chinnaswamy Stadium"
173,2024,"Jaipur","Sunrisers Hyderabad","RCB","Mumbai Indians","Bat",172,130,"Sunrisers Hyderabad","David Warner","Chinnaswamy Stadium"
174,2015,"Chennai","Sunrisers Hyderabad","RCB","RCB","Field",142,216,"RCB","Andre Russell","Eden Gardens"
175,2020,"Bangalore","Delhi Capitals","Rajasthan Royals","Delhi Capitals","Field",165,152,"Delhi Capitals","David Warner","Rajiv Gandhi Stadium"
176,2020,"Mohali","Rajasthan Royals","Punjab Kings","Mumbai Indians","Field",216,184,"Rajasthan Royals","David Warner","Feroz Shah Kotla"
177,2019,"Delhi","RCB","Delhi Capitals","Chennai Super Kings","Field",136,180,"Delhi Capitals","Andre Russell","Rajiv Gandhi Stadium"
178,2022,"Mohali","KKR","Mumbai Indians","Mumbai Indians","Bat",161,160,"KKR","MS Dhoni","Eden Gardens"
179,2020,"Jaipur","KKR","RCB","KKR","Field",160,189,"RCB","David Warner","Wankhede Stadium"
180,2022,"Jaipur","Punjab Kings","Mumbai Indians","Sunrisers Hyderabad","Bat",191,136,"Punjab Kings","MS Dhoni","Chinnaswamy Stadium"
181,2024,"Mumbai","KKR","Punjab Kings","KKR","Bat",161,220,"Punjab Kings","KL Rahul","Feroz Shah Kotla"
182,2024,"Hyderabad","Delhi Capitals","RCB","Rajasthan Royals","Field",202,203,"RCB","Andre Russell","Chepauk Stadium"
183,2015,"Bangalore","RCB","KKR","RCB","Field",185,141,"RCB","MS Dhoni","Eden Gardens"
184,2017,"Mumbai","Mumbai Indians","Punjab Kings","RCB","Field",170,212,"Punjab Kings","Andre Russell","Feroz Shah Kotla"
185,2018,"Chennai","Rajasthan Royals","Delhi Capitals","Sunrisers Hyderabad","Field",158,169,"Delhi Capitals","Rohit Sharma","Chinnaswamy Stadium"
186,2022,"Hyderabad","Punjab Kings","Rajasthan Royals","KKR","Bat",189,150,"Punjab Kings","Andre Russell","Feroz Shah Kotla"
